date,time,temperature,humidity,windSpeed,precipitationProbability
2024-10-05,03:15:00,17.13,84,1.13,0
2024-10-05,03:25:00,17.63,80,0.69,0
2024-10-05,03:35:00,17.5,81,0.81,0
2024-10-05,03:45:00,17.38,81,0.88,0
2024-10-05,03:55:00,17.19,82,1.13,0
2024-10-05,04:05:00,17.13,83,1.19,0
2024-10-05,04:15:00,17,83,1.13,0
2024-10-05,04:25:00,16.81,84,1.13,0
2024-10-05,04:35:00,16.63,85,0.81,0
2024-10-05,04:45:00,16.5,85,0.88,0
2024-10-05,04:55:00,16.5,85,0.88,0
2024-10-05,05:05:00,16.31,86,1.13,0
2024-10-05,05:15:00,16.19,86,1.13,0
2024-10-05,05:25:00,15.88,88,1,0
2024-10-05,05:35:00,15.81,88,1.13,0
2024-10-05,05:45:00,15.69,88,1.19,0
2024-10-05,05:55:00,15.63,88,1.31,0
2024-10-05,06:05:00,15.5,89,1.5,0
2024-10-05,06:15:00,15.38,89,1.5,0
2024-10-05,06:25:00,15.38,89,1.5,0
2024-10-05,06:35:00,15.31,90,1.63,0
2024-10-05,06:45:00,15.19,90,1.63,0
2024-10-05,06:55:00,15.19,90,1.69,0
2024-10-05,07:05:00,15.13,91,1.81,0
2024-10-05,07:15:00,15.19,90,1.88,0
2024-10-05,07:25:00,15.31,90,2.13,0
2024-10-05,07:35:00,15.88,88,2.69,0
2024-10-05,07:45:00,16.13,88,3.13,0
2024-10-05,07:55:00,16.5,87,2.81,0
2024-10-05,08:05:00,16.63,87,2.88,0
2024-10-05,08:15:00,16.69,85,3,0
2024-10-05,08:25:00,16.81,84,3.19,0
2024-10-05,08:35:00,18,79,3.5,0
2024-10-05,08:45:00,18.31,77,3.63,0
2024-10-05,08:55:00,18.5,76,3.69,0
2024-10-05,09:05:00,18.69,75,3.81,0
2024-10-05,09:15:00,19,72,3.88,0
2024-10-05,10:12:00,20.13,66,4.88,0
2024-10-05,10:22:00,20.31,64,4.88,0
2024-10-05,10:32:00,20.5,60,4.69,0
2024-10-05,10:42:00,20.63,59,4.69,0
2024-10-05,10:52:00,20.81,60,5.13,0
2024-10-05,11:02:00,21,60,5,0
2024-10-05,11:12:00,21.19,59,5,0
2024-10-05,11:22:00,21.31,58,5,0
2024-10-05,11:32:00,22,55,4.63,0
2024-10-05,11:42:00,22.19,54,4.69,0
2024-10-05,11:52:00,22.38,53,4.88,0
2024-10-05,12:02:00,22.63,52,5,0
2024-10-05,12:12:00,22.81,51,5,0
2024-10-05,12:22:00,22.88,50,5,0
2024-10-05,12:32:00,23.13,49,4.88,0
2024-10-05,12:42:00,23.13,45,5.13,0
2024-10-05,12:52:00,23.19,45,5.13,0
2024-10-05,13:02:00,23.31,44,5,0
2024-10-05,13:12:00,23.5,43,5.13,0
2024-10-05,13:22:00,23.69,40,5.13,0
2024-10-05,13:32:00,23.69,38,5,0
2024-10-05,13:33:00,23.7,38.15,5,0
2024-10-05,13:43:00,23.81,37,5,0
2024-10-05,13:53:00,23.88,36,5.19,0
2024-10-05,14:03:00,24,35,5.19,0
2024-10-05,14:13:00,24.13,34,5.19,0
2024-10-05,14:23:00,24.19,33,5,0
2024-10-05,14:33:00,23.69,36,4.81,0
2024-10-05,14:43:00,23.81,36,4.69,0
2024-10-05,14:53:00,23.88,35,4.63,0
2024-10-05,15:03:00,23.88,35,4.5,0
2024-10-05,15:13:00,23.88,35,4.38,0
2024-10-05,15:23:00,23.88,34,4.38,0
2024-10-05,15:33:00,24,37,4,0
2024-10-05,15:43:00,24,37,3.88,0
2024-10-05,15:53:00,24,36,3.81,0
2024-10-05,16:03:00,24,36,3.69,0
2024-10-05,16:13:00,23.88,36,3.69,0
2024-10-05,16:23:00,23.81,36,3.69,0
2024-10-05,16:33:00,23.63,36,4.13,0
2024-10-05,16:43:00,23.38,36,4.13,0
2024-10-05,16:53:00,23.31,36,4,0
2024-10-05,17:03:00,23.19,36,4,0
2024-10-05,17:13:00,23,36,3.88,0
2024-10-05,17:23:00,22.88,36,3.81,0
2024-10-05,17:33:00,22.63,36,3.69,0
2024-10-05,17:43:00,22.5,36,3.5,0
2024-10-05,17:53:00,22.31,36,3.19,0
2024-10-05,18:03:00,22.13,36,3,0
2024-10-05,18:13:00,21.69,37,2.88,0
2024-10-05,18:23:00,21.38,37,2.81,0
2024-10-05,18:33:00,20.81,39,2.69,0
2024-10-05,18:43:00,20.5,40,2.5,0
2024-10-05,18:53:00,20,41,2.5,0
2024-10-05,19:03:00,19.63,42,2.38,0
2024-10-05,19:13:00,19.5,43,2.5,0
2024-10-05,19:23:00,19.13,43,2.5,0
2024-10-05,19:33:00,19.19,46,2.19,0
2024-10-05,19:43:00,18.88,47,2.19,0
2024-10-05,19:53:00,18.81,48,2.19,0
2024-10-05,20:03:00,18.38,50,2.19,0
2024-10-05,20:13:00,18.19,50,2.31,0
2024-10-05,20:23:00,18.13,50,2.31,0
2024-10-05,20:33:00,18,50,2.31,0
2024-10-05,20:43:00,18.19,54,2.63,0
2024-10-05,20:53:00,18,55,2.5,0
2024-10-05,21:03:00,17.88,55,2.38,0
2024-10-05,21:13:00,17.69,55,2.38,0
2024-10-05,21:23:00,17.63,54,2.5,0
2024-10-05,21:33:00,18.19,54,3,0
2024-10-05,21:43:00,18,54,2.69,0
2024-10-05,21:53:00,17.63,55,2.19,0
2024-10-05,22:03:00,17.31,56,1.88,0
2024-10-05,22:13:00,17.19,57,1.88,0
2024-10-05,22:23:00,16.81,58,1.88,0
2024-10-05,22:33:00,16.38,61,1.81,0
2024-10-05,22:43:00,16.38,61,1.88,0
2024-10-05,22:53:00,16.13,62,2,0
2024-10-05,23:03:00,15.88,63,2.13,0
2024-10-05,23:13:00,15.69,63,2,0
2024-10-05,23:23:00,15.5,64,2,0
2024-10-05,23:33:00,15.38,58,2.19,0
2024-10-05,23:43:00,15.38,58,2.19,0
2024-10-05,23:53:00,15,60,2.13,0
2024-10-06,00:03:00,14.81,61,2.13,0
2024-10-06,00:13:00,14.69,61,2.19,0
2024-10-06,00:23:00,14.5,62,2.19,0
2024-10-06,00:33:00,14.81,62,2.5,0
2024-10-06,00:43:00,14.5,64,2.5,0
2024-10-06,00:53:00,14.38,65,2.5,0
2024-10-06,01:03:00,14.19,67,2.5,0
2024-10-06,01:13:00,14.13,67,2.5,0
2024-10-06,01:23:00,13.88,67,2.5,0
2024-10-06,01:33:00,14,66,2.63,0
2024-10-06,01:43:00,13.88,66,2.63,0
2024-10-06,01:54:00,13.69,67,2.63,0
2024-10-06,02:04:00,13.63,68,2.69,0
2024-10-06,02:14:00,13.38,68,2.63,0
2024-10-06,02:24:00,13.31,69,2.63,0
2024-10-06,02:34:00,13.13,71,2.31,0
2024-10-06,02:44:00,13,72,2.19,0
2024-10-06,02:54:00,12.81,73,2.19,0
2024-10-06,03:04:00,12.69,74,2.13,0
2024-10-06,03:14:00,12.5,74,2.13,0
2024-10-06,03:24:00,12.38,75,2.13,0
2024-10-06,03:34:00,12.19,76,2,0
2024-10-06,03:44:00,12.5,71,1.69,0
2024-10-06,03:54:00,12.38,72,1.81,0
2024-10-06,04:04:00,12.38,72,1.81,0
2024-10-06,04:14:00,12.13,74,2,0
2024-10-06,04:24:00,11.88,75,2,0
2024-10-06,04:34:00,11.81,76,2,0
2024-10-06,04:44:00,11.69,77,2,0
2024-10-06,04:54:00,11.5,78,2,0
2024-10-06,05:04:00,11.5,78,2,0
2024-10-06,05:14:00,11.38,78,2.13,0
2024-10-06,05:24:00,11.38,79,2.13,0
2024-10-06,05:34:00,11.38,79,2.13,0
2024-10-06,05:44:00,11.63,73,2.13,0
2024-10-06,05:54:00,11.38,74,2,0
2024-10-06,06:04:00,11.19,75,2,0
2024-10-06,06:14:00,11.13,76,2,0
2024-10-06,06:24:00,11,78,1.88,0
2024-10-06,06:34:00,11.31,76,2,0
2024-10-06,06:44:00,11,79,1.88,0
2024-10-06,06:54:00,11,79,1.88,0
2024-10-06,07:04:00,10.81,83,1.81,0
2024-10-06,07:14:00,10.81,84,1.81,0
2024-10-06,07:24:00,10.88,84,1.81,0
2024-10-06,07:34:00,11,79,1.69,0
2024-10-06,07:44:00,11,79,1.69,0
2024-10-06,07:54:00,11,79,1.69,0
2024-10-06,08:04:00,11,79,1.69,0
2024-10-06,08:14:00,12.19,78,1.81,0
2024-10-06,08:24:00,12.63,77,1.81,0
2024-10-06,08:34:00,13,75,1.81,0
2024-10-06,08:44:00,13.88,70,1.19,0
2024-10-06,08:54:00,14.31,69,1.31,0
2024-10-06,09:04:00,14.69,69,1.38,0
2024-10-06,09:14:00,15.13,67,1.38,0
2024-10-06,09:24:00,15.5,66,1.5,0
2024-10-06,09:34:00,15.69,65,1.5,0
2024-10-06,09:44:00,16.13,64,1.5,0
2024-10-06,09:54:00,16.63,59,0.81,0
2024-10-06,10:04:00,17.13,58,0.81,0
2024-10-06,10:14:00,17.38,57,0.81,0
2024-10-06,10:24:00,17.81,56,0.81,0
2024-10-06,10:34:00,17.81,56,0.81,0
2024-10-06,10:44:00,18.69,47,1,0
2024-10-06,10:54:00,18.81,46,1,0
2024-10-06,11:04:00,19.31,45,0.81,0
2024-10-06,11:14:00,19.63,44,0.88,0
2024-10-06,11:24:00,19.69,50,0.88,0
2024-10-06,11:34:00,20,49,1,0
2024-10-06,11:44:00,20.5,48,1.19,0
2024-10-06,11:54:00,20.5,48,1.19,0
2024-10-06,12:04:00,21,47,1.38,0
2024-10-06,12:14:00,21,47,1.38,0
2024-10-06,12:24:00,21.19,46,1.88,0
2024-10-06,12:34:00,21.38,46,2.19,0
2024-10-06,12:44:00,21.69,42,2.38,0
2024-10-06,12:54:00,21.88,41,2.69,0
2024-10-06,13:04:00,22,40,2.81,0
2024-10-06,13:14:00,22.13,40,3,0
2024-10-06,13:24:00,22.19,40,3,0
2024-10-06,13:34:00,21.88,44,3.38,0
2024-10-06,13:44:00,22,43,3.38,0
2024-10-06,13:54:00,22,43,3.38,0
2024-10-06,14:04:00,22.13,43,3.38,0
2024-10-06,14:14:00,22.13,43,3.38,0
2024-10-06,14:24:00,22.13,44,3.5,0
2024-10-06,14:34:00,22,43,3.63,0
2024-10-06,14:44:00,22,42,3.5,0
2024-10-06,14:54:00,22,42,3.5,0
2024-10-06,14:55:00,22,42.97,3.5,0
2024-10-06,15:05:00,22,42,3.5,0
2024-10-06,15:15:00,22,43,3.5,0
2024-10-06,15:25:00,21.88,44,3.5,0
2024-10-06,15:35:00,21.88,45,3.5,0
2024-10-06,15:45:00,21.63,51,3.81,0
2024-10-06,15:55:00,21.5,53,4,0
2024-10-06,16:05:00,21.38,55,4.13,0
2024-10-06,16:15:00,21.19,56,4.13,0
2024-10-06,16:25:00,21.13,55,4.13,0
2024-10-06,16:35:00,21,56,4.13,0
2024-10-06,16:45:00,20.81,57,4.13,0
2024-10-06,18:14:00,18.69,71,3.88,0
2024-10-06,18:24:00,18.5,73,3.81,0
2024-10-06,18:34:00,18.5,75,3.69,0
2024-10-06,18:44:00,18.19,77,3.63,0
2024-10-06,18:54:00,18.13,78,3.63,0
2024-10-06,19:04:00,17.69,81,3.38,0
2024-10-06,19:14:00,17.63,82,3.38,0
2024-10-06,19:24:00,17.5,82,3.31,0
2024-10-06,19:34:00,17.63,81,3.38,0
2024-10-06,19:44:00,17.38,83,3.19,0
2024-10-06,19:54:00,17.31,84,3,0
2024-10-06,20:04:00,17.19,85,2.81,0
2024-10-06,20:14:00,17.13,85,2.88,0
2024-10-06,20:24:00,17.13,85,3.13,0
2024-10-06,20:34:00,17.19,81,3,0
2024-10-06,20:44:00,17.13,82,2.88,0
2024-10-06,20:54:00,17,83,2.81,0
2024-10-06,21:04:00,16.88,83,2.63,0
2024-10-06,21:14:00,16.88,83,2.81,0
2024-10-06,21:24:00,16.88,82,2.88,0
2024-10-06,21:34:00,16.81,81,2.81,0
2024-10-06,21:45:00,16.81,81,2.81,0
2024-10-06,21:55:00,16.69,82,2.69,0
2024-10-06,22:05:00,16.63,82,2.69,0
2024-10-06,22:15:00,16.63,82,2.69,0
2024-10-06,22:25:00,16.5,83,2.69,0
2024-10-06,22:35:00,16.5,83,2.63,0
2024-10-06,22:45:00,16.88,76,2.63,0
2024-10-06,22:55:00,16.88,76,2.5,0
2024-10-06,23:05:00,16.81,76,2.31,0
2024-10-06,23:15:00,16.69,77,2.38,0
2024-10-06,23:25:00,16.63,78,2.38,0
2024-10-06,23:35:00,16.63,76,2.13,0
2024-10-06,23:45:00,16.38,77,2.13,0
2024-10-06,23:55:00,16.31,78,2.13,0
